INVNUM,Client_id,Inv_date,Inv_paid,Inv_Paid_date,Comments,Suppl1,Price,Quantity,PriceSuppl1,Suppl2,Price,Quantity,PriceSuppl2,Suppl3,Price,Quantity,PriceSuppl3,Suppl4,Price,Quantity,PriceSuppl4,Suppl5,Price,Quantity,PriceSuppl5,Suppl6,Price,Quantity,PriceSuppl6,Suppl7,Price,Quantity,PriceSuppl7,Total(Suppl)
INV01069,9910060946082,2018-01-08,Y,2018-01-13,,Supplement-83,300.44,2,600.88,Supplement-181,239.32,3,717.96,,,,,,,,,,,,,,,,,,,,," R 1,318.84 "
INV01519,9910060946082,2019-07-05,Y,2019-07-11,,Supplement-173,362.62,3,1087.86,Supplement-114,271.94,3,815.82,,,,,,,,,,,,,,,,,,,,," R 1,903.68 "
INV01550,9910060946082,2019-09-21,Y,2019-09-30,,Supplement-174,378.84,3,1136.52,Supplement-137,235.46,5,1177.30,Supplement-34,292.98,3,878.94,Supplement-112,2761.12,3,8283.36,Supplement-140,263.72,1,263.72,,,,,Supplement-46,238.36,4,953.44," R 12,693.28 "
INV01570,9910060946082,2019-11-25,Y,2019-12-03,,Supplement-81,367.18,3,1101.54,Supplement-35,159.60,4,638.40,,,,,,,,,,,,,,,,,,,,," R 1,739.94 "
INV0382,9908260536088,2015-06-10,Y,2015-06-18,,Supplement-245,243.73,3,731.20,Supplement-151,225.53,1,225.53,,,,,,,,,,,,,,,,,,,,, R 956.73 
INV0753,9908260536088,2016-07-26,Y,2016-08-02,,Supplement-200,264.84,1,264.84,,,,,,,,,,,,,,,,,,,,,,,,, R 264.84 
INV01345,9908260536088,2018-09-28,Y,2018-10-08,,Supplement-125,185.92,2,371.84,Supplement-54,273.22,2,546.44,,,,,,,,,,,,,,,,,,,,, R 918.28 
INV0051,9907280115082,2013-07-04,Y,2013-07-09,,Supplement-157,155.40,1,155.40,Supplement-1,216.96,3,650.88,Supplement-42,287.64,2,575.28,Supplement-54,111.34,4,445.36,Supplement-168,135.06,2,270.12,,,,,,,,," R 2,097.04 "
INV0039,9902110250084,2013-05-03,Y,2013-05-04,,Supplement-69,123.22,5,616.10,Supplement-240,94.72,1,94.72,Supplement-10,114.56,5,572.80,Supplement-185,138.56,3,415.68,,,,,,,,,,,,," R 1,699.30 "
INV0042,9902110250084,2013-05-20,Y,2013-05-22,,Supplement-141,110.68,5,553.40,,,,,,,,,,,,,,,,,,,,,,,,, R 553.40 
INV0330,9902110250084,2015-04-17,Y,2015-04-17,,Supplement-121,241.16,2,482.32,Supplement-235,225.43,1,225.43,,,,,,,,,,,,,,,,,,,,, R 707.75 
INV01089,9902110250084,2018-02-01,Y,2018-02-11,,Supplement-103,616.28,4,2465.14,,,,,,,,,,,,,,,,,,,,,,,,," R 2,465.14 "
INV01162,9902110250084,2018-04-06,Y,2018-04-09,,Supplement-227,334.64,4,1338.56,Supplement-27,262.56,2,525.12,,,,,,,,,,,,,,,,,,,,," R 1,863.68 "
INV01295,9902110250084,2018-08-16,Y,2018-08-17,,Supplement-127,216.70,5,1083.50,,,,,,,,,,,,,,,,,,,,,,,,," R 1,083.50 "
INV0356,9901030534081,2015-05-17,Y,2015-05-19,,Supplement-69,182.50,4,730.00,Supplement-89,301.06,5,1505.30,,,,,,,,,,,,,,,,,,,,," R 2,235.30 "
INV0708,9901030534081,2016-05-23,Y,2016-05-24,,Supplement-188,133.38,5,666.90,,,,,,,,,,,,,,,,,,,,,,,,, R 666.90 
INV0792,9901030534081,2016-09-11,Y,2016-09-11,,Supplement-82,165.40,4,661.60,,,,,,,,,,,,,,,,,,,,,,,,, R 661.60 
INV01139,9901030534081,2018-03-13,Y,2018-03-13,,Supplement-119,158.54,2,317.08,Supplement-93,174.56,2,349.11,Supplement-29,93.40,1,93.40,Supplement-236,126.54,2,253.08,Supplement-236,126.54,2,253.08,,,,,,,,," R 1,265.76 "
INV01360,9901030534081,2018-10-13,Y,2018-10-16,,Supplement-146,270.28,4,1081.12,,,,,,,,,,,,,,,,,,,,,,,,," R 1,081.12 "
INV01500,9901030534081,2019-05-15,Y,2019-05-20,,Supplement-171,455.48,5,2277.40,,,,,,,,,,,,,,,,,,,,,,,,," R 2,277.40 "
INV0101,9811220178083,2014-03-04,Y,2014-03-10,,Supplement-94,208.54,1,208.54,Supplement-59,183.12,3,549.36,,,,,,,,,,,,,,,,,,,,, R 757.90 
INV0276,9811220178083,2015-03-02,Y,2015-03-03,,Supplement-220,270.28,5,1351.40,,,,,,,,,,,,,,,,,,,,,,,,," R 1,351.40 "
INV0761,9811220178083,2016-08-07,Y,2016-08-14,,Supplement-151,247.19,2,494.38,,,,,,,,,,,,,,,,,,,,,,,,, R 494.38 
INV01102,9811220178083,2018-02-07,Y,2018-02-09,,Supplement-11,205.75,5,1028.75,,,,,,,,,,,,,,,,,,,,,,,,," R 1,028.75 "
INV0031,9810260112082,2013-03-18,Y,2013-03-23,,Supplement-219,164.52,5,822.60,Supplement-176,112.96,5,564.80,Supplement-136,146.02,3,438.06,,,,,,,,,,,,,,,,," R 1,825.46 "
INV0860,9810260112082,2017-01-05,Y,2017-01-08,,Supplement-150,382.00,3,1146.00,Supplement-221,232.66,4,930.64,,,,,,,,,,,,,,,,,,,,," R 2,076.64 "
INV01553,9810260112082,2019-10-03,Y,2019-10-06,,Supplement-39,304.48,1,304.48,Supplement-112,2761.12,3,8283.36,Supplement-112,2761.12,3,8283.36,,,,,,,,,,,,,,,,," R 16,871.20 "
INV0063,9712150845081,2013-09-22,Y,2013-09-30,,Supplement-30,262.82,1,262.82,,,,,,,,,,,,,,,,,,,,,,,,, R 262.82 
INV0905,9712150845081,2017-03-24,Y,2017-03-31,,Supplement-85,234.06,5,1170.30,Supplement-227,320.96,1,320.96,,,,,,,,,,,,,,,,,,,,," R 1,491.26 "
INV0502,9710230788081,2015-09-14,Y,2015-09-18,,Supplement-140,152.00,3,455.99,,,,,,,,,,,,,,,,,,,,,,,,, R 455.99 
INV0934,9710230788081,2017-05-19,Y,2017-05-28,,Supplement-112,2710.96,2,5421.92,,,,,,,,,,,,,,,,,,,,,,,,," R 5,421.92 "
INV01532,9710230788081,2019-08-04,Y,2019-08-04,,Supplement-93,311.36,1,311.36,,,,,,,,,,,,,,,,,,,,,,,,, R 311.36 
INV01554,9710230788081,2019-10-10,Y,2019-10-20,,Supplement-237,212.04,4,848.16,Supplement-151,280.25,5,1401.25,Supplement-192,304.48,5,1522.40,,,,,,,,,,,,,,,,," R 3,771.81 "
INV0619,9710010812081,2016-01-01,Y,2016-01-11,,Supplement-156,169.78,1,169.78,Supplement-163,158.56,1,158.56,,,,,,,,,,,,,,,,,,,,, R 328.34 
INV0024,9706130545082,2013-03-02,Y,2013-03-10,,Supplement-223,266.24,3,798.72,,,,,,,,,,,,,,,,,,,,,,,,, R 798.72 
INV0219,9706130545082,2015-01-05,Y,2015-01-13,,Supplement-190,218.36,1,218.36,Supplement-70,214.42,3,643.26,,,,,,,,,,,,,,,,,,,,, R 861.62 
INV0325,9706130545082,2015-04-13,Y,2015-04-13,,Supplement-120,201.52,4,806.07,,,,,,,,,,,,,,,,,,,,,,,,, R 806.07 
INV0384,9706130545082,2015-06-11,Y,2015-06-17,,Supplement-212,244.58,3,733.74,,,,,,,,,,,,,,,,,,,,,,,,, R 733.74 
INV0586,9706130545082,2015-12-02,Y,2015-12-03,,Supplement-65,115.24,1,115.24,,,,,,,,,,,,,,,,,,,,,,,,, R 115.24 
INV0609,9706130545082,2015-12-21,Y,2015-12-31,,Supplement-187,133.48,1,133.48,Supplement-40,122.62,5,613.08,,,,,,,,,,,,,,,,,,,,, R 746.56 
INV0678,9706130545082,2016-04-05,Y,2016-04-15,,Supplement-3,243.40,1,243.40,Supplement-229,157.65,2,315.30,,,,,,,,,,,,,,,,,,,,, R 558.70 
INV0705,9706130545082,2016-05-18,Y,2016-05-20,,Supplement-160,232.66,4,930.64,Supplement-45,135.76,2,271.52,,,,,,,,,,,,,,,,,,,,," R 1,202.16 "
INV0095,9701100741082,2014-02-14,Y,2014-02-14,,Supplement-30,289.04,2,578.08,Supplement-245,224.35,3,673.06,,,,,,,,,,,,,,,,,,,,," R 1,251.14 "
INV0102,9701100741082,2014-03-07,Y,2014-03-11,,Supplement-204,274.66,4,1098.64,Supplement-20,148.30,1,148.30,,,,,,,,,,,,,,,,,,,,," R 1,246.94 "
INV0941,9701100741082,2017-06-02,Y,2017-06-04,,Supplement-1,336.66,2,673.32,Supplement-228,193.46,4,773.85,,,,,,,,,,,,,,,,,,,,," R 1,447.17 "
INV01075,9701100741082,2018-01-15,Y,2018-01-17,,Supplement-47,321.12,1,321.12,,,,,,,,,,,,,,,,,,,,,,,,, R 321.12 
INV01394,9701100741082,2018-11-10,Y,2018-11-11,,Supplement-143,221.26,2,442.52,Supplement-71,367.26,1,367.26,,,,,,,,,,,,,,,,,,,,, R 809.78 
INV01433,9701100741082,2018-12-07,Y,2018-12-17,,Supplement-24,265.55,5,1327.77,Supplement-205,308.42,1,308.42,,,,,,,,,,,,,,,,,,,,," R 1,636.19 "
INV01438,9701100741082,2018-12-12,Y,2018-12-20,,Supplement-136,263.44,3,790.32,,,,,,,,,,,,,,,,,,,,,,,,, R 790.32 
INV0144,9701100285087,2014-06-06,Y,2014-06-16,,Supplement-145,218.80,4,875.20,,,,,,,,,,,,,,,,,,,,,,,,, R 875.20 
INV0680,9701100285087,2016-04-06,Y,2016-04-16,,Supplement-17,237.42,3,712.25,,,,,,,,,,,,,,,,,,,,,,,,, R 712.25 
INV0996,9701100285087,2017-09-04,Y,2017-09-06,,Supplement-139,165.40,5,827.00,,,,,,,,,,,,,,,,,,,,,,,,, R 827.00 
INV01084,9701100285087,2018-01-27,Y,2018-02-03,,Supplement-114,257.12,1,257.12,Supplement-173,332.98,2,665.96,,,,,,,,,,,,,,,,,,,,, R 923.08 
INV01094,9701100285087,2018-02-03,Y,2018-02-05,,Supplement-104,408.04,1,408.04,,,,,,,,,,,,,,,,,,,,,,,,, R 408.04 
INV0089,9612070824088,2014-01-28,Y,2014-02-01,,Supplement-10,178.40,4,713.60,Supplement-20,148.30,5,741.50,,,,,,,,,,,,,,,,,,,,," R 1,455.10 "
INV0800,9612070824088,2016-09-28,Y,2016-10-04,,Supplement-120,216.34,4,865.35,Supplement-185,191.00,3,573.00,,,,,,,,,,,,,,,,,,,,," R 1,438.35 "
INV0888,9611120247088,2017-03-04,Y,2017-03-07,,Supplement-159,260.02,4,1040.08,Supplement-196,334.64,2,669.28,,,,,,,,,,,,,,,,,,,,," R 1,709.36 "
INV01264,9611120247088,2018-07-12,Y,2018-07-22,,Supplement-183,314.82,1,314.82,,,,,,,,,,,,,,,,,,,,,,,,, R 314.82 
INV01439,9611120247088,2018-12-13,Y,2018-12-18,,Supplement-163,197.32,4,789.28,,,,,,,,,,,,,,,,,,,,,,,,, R 789.28 
INV01548,9611120247088,2019-09-13,N,,,Supplement-147,300.32,4,1201.28,Supplement-9,386.64,4,1546.56,Supplement-186,301.06,5,1505.30,Supplement-171,455.48,5,2277.40,Supplement-243,195.56,2,391.12,Supplement-46,238.36,4,953.44,,,,," R 7,875.10 "
INV0071,9609270686085,2013-11-21,Y,2013-11-25,,Supplement-37,135.86,2,271.71,,,,,,,,,,,,,,,,,,,,,,,,, R 271.71 
INV01149,9609270686085,2018-03-23,Y,2018-03-31,,Supplement-3,277.60,5,1388.02,Supplement-138,325.52,1,325.52,,,,,,,,,,,,,,,,,,,,," R 1,713.54 "
INV0772,9608280617083,2016-08-16,Y,2016-08-21,,Supplement-238,232.04,1,232.04,,,,,,,,,,,,,,,,,,,,,,,,, R 232.04 
INV0106,9606270939081,2014-03-12,Y,2014-03-18,,Supplement-202,150.84,2,301.68,Supplement-226,98.04,2,196.08,,,,,,,,,,,,,,,,,,,,, R 497.76 
INV01096,9606270939081,2018-02-03,Y,2018-02-06,,Supplement-232,340.78,5,1703.90,,,,,,,,,,,,,,,,,,,,,,,,," R 1,703.90 "
INV0097,960124047081,2014-02-20,Y,2014-02-25,,Supplement-8,140.32,4,561.28,Supplement-172,146.02,1,146.02,,,,,,,,,,,,,,,,,,,,, R 707.30 
INV0476,960124047081,2015-09-03,Y,2015-09-11,,Supplement-188,131.10,4,524.40,Supplement-36,208.54,1,208.54,,,,,,,,,,,,,,,,,,,,, R 732.94 
INV0564,960124047081,2015-11-11,Y,2015-11-16,,Supplement-169,233.62,4,934.48,Supplement-203,370.86,2,741.72,,,,,,,,,,,,,,,,,,,,," R 1,676.20 "
INV0706,960124047081,2016-05-19,Y,2016-05-23,,Supplement-182,264.58,3,793.74,,,,,,,,,,,,,,,,,,,,,,,,, R 793.74 
INV0528,9601060188087,2015-10-07,Y,2015-10-13,,Supplement-141,166.54,4,666.16,,,,,,,,,,,,,,,,,,,,,,,,, R 666.16 
INV0587,9601060188087,2015-12-04,Y,2015-12-11,,Supplement-177,174.52,5,872.60,,,,,,,,,,,,,,,,,,,,,,,,, R 872.60 
INV0803,9601060188087,2016-10-03,Y,2016-10-05,,Supplement-150,364.90,1,364.90,Supplement-212,262.82,2,525.64,,,,,,,,,,,,,,,,,,,,, R 890.54 
INV01258,9601060188087,2018-07-06,Y,2018-07-12,,Supplement-207,608.99,3,1826.96,,,,,,,,,,,,,,,,,,,,,,,,," R 1,826.96 "
INV0002,9509040129082,2012-04-07,Y,2012-04-14,,Supplement-172,100.42,3,450.00,Supplement-147,120.00,5,600.00,,,,,,,,,,,,,,,,,,,,," R 1,050.00 "
INV0406,9509040129082,2015-07-02,Y,2015-07-11,,Supplement-128,205.12,3,615.36,,,,,,,,,,,,,,,,,,,,,,,,, R 615.36 
INV01054,9509040129082,2017-12-09,Y,2017-12-14,,Supplement-127,189.34,5,946.70,Supplement-35,103.74,4,414.96,,,,,,,,,,,,,,,,,,,,," R 1,361.66 "
INV01584,9509040129082,2020-02-07,,,,Supplement-202,269.40,1,269.40,,,,,,,,,,,,,,,,,,,,,,,,, R 269.40 
INV0828,950310057086,2016-11-22,Y,2016-11-23,,Supplement-70,240.64,4,962.56,Supplement-107,266.86,2,533.72,,,,,,,,,,,,,,,,,,,,," R 1,496.28 "
INV01177,950310057086,2018-04-16,Y,2018-04-22,,Supplement-35,132.24,1,132.24,Supplement-157,286.50,3,859.50,,,,,,,,,,,,,,,,,,,,, R 991.74 
INV01216,950310057086,2018-05-20,Y,2018-05-23,,Supplement-192,277.12,1,277.12,,,,,,,,,,,,,,,,,,,,,,,,, R 277.12 
INV0182,9503010970083,2014-09-25,Y,2014-09-25,,Supplement-144,157.42,2,314.84,,,,,,,,,,,,,,,,,,,,,,,,, R 314.84 
INV0218,9503010970083,2015-01-04,Y,2015-01-05,,Supplement-17,223.74,2,447.47,Supplement-99,148.12,3,444.36,,,,,,,,,,,,,,,,,,,,, R 891.83 
INV0696,9503010970083,2016-05-06,Y,2016-05-07,,Supplement-188,133.38,3,400.14,,,,,,,,,,,,,,,,,,,,,,,,, R 400.14 
INV0898,9503010970083,2017-03-16,Y,2017-03-26,,Supplement-87,154.26,4,617.04,Supplement-108,276.94,4,1107.76,,,,,,,,,,,,,,,,,,,,," R 1,724.80 "
INV0942,9503010970083,2017-06-04,Y,2017-06-10,,Supplement-122,272.82,2,545.64,,,,,,,,,,,,,,,,,,,,,,,,, R 545.64 
INV01280,9503010970083,2018-07-26,Y,2018-07-31,,Supplement-61,273.70,2,547.40,,,,,,,,,,,,,,,,,,,,,,,,, R 547.40 
INV01442,9503010970083,2018-12-19,Y,2018-12-19,,Supplement-117,277.95,4,1111.80,,,,,,,,,,,,,,,,,,,,,,,,," R 1,111.80 "
INV01579,9503010970083,2020-01-18,Y,2020-01-27,,Supplement-104,438.82,1,438.82,,,,,,,,,,,,,,,,,,,,,,,,, R 438.82 
INV0576,9502240191083,2015-11-21,Y,2015-11-30,,Supplement-115,377.08,2,754.16,Supplement-63,114.10,3,342.30,,,,,,,,,,,,,,,,,,,,," R 1,096.46 "
INV01226,9502240191083,2018-06-03,Y,2018-06-12,,Supplement-99,222.22,3,666.66,,,,,,,,,,,,,,,,,,,,,,,,, R 666.66 
INV0378,9412180136082,2015-06-05,Y,2015-06-10,,Supplement-16,200.82,5,1004.10,,,,,,,,,,,,,,,,,,,,,,,,," R 1,004.10 "
INV0821,9412180136082,2016-11-05,Y,2016-11-08,,Supplement-204,315.70,3,947.10,,,,,,,,,,,,,,,,,,,,,,,,, R 947.10 
INV01368,9412180136082,2018-10-18,Y,2018-10-28,,Supplement-108,311.14,3,933.42,Supplement-236,126.54,2,253.08,Supplement-236,126.54,2,253.08,,,,,,,,,,,,,,,,," R 1,439.58 "
INV0055,9408100658087,2013-07-13,Y,2013-07-23,,Supplement-45,82.18,2,164.36,Supplement-76,191.62,5,958.10,Supplement-121,195.56,2,391.12,,,,,,,,,,,,,,,,," R 1,513.58 "
INV01127,9408100658087,2018-03-05,Y,2018-03-06,,Supplement-153,262.30,1,262.30,Supplement-36,290.62,2,581.24,,,,,,,,,,,,,,,,,,,,, R 843.54 
INV01183,9408100658087,2018-04-21,Y,2018-04-24,,Supplement-237,205.20,2,410.40,,,,,,,,,,,,,,,,,,,,,,,,, R 410.40 
INV0198,9405050739085,2014-11-24,Y,2014-12-02,,Supplement-32,141.46,2,282.92,Supplement-103,533.06,1,533.06,Supplement-88,248.55,3,745.66,Supplement-49,174.78,3,524.34,,,,,,,,,,,,," R 2,085.99 "
INV0297,9405050739085,2015-03-24,Y,2015-04-03,,Supplement-53,148.36,5,741.79,,,,,,,,,,,,,,,,,,,,,,,,, R 741.79 
INV01417,9405050739085,2018-11-24,Y,2018-12-01,,Supplement-25,329.56,1,329.56,,,,,,,,,,,,,,,,,,,,,,,,, R 329.56 
INV0201,9403280679088,2014-11-26,Y,2014-12-04,,Supplement-85,175.92,4,703.68,Supplement-148,175.82,5,879.12,Supplement-149,230.38,3,691.14,,,,,,,,,,,,,,,,," R 2,273.94 "
INV0416,9403280679088,2015-07-09,Y,2015-07-15,,Supplement-70,214.42,5,1072.10,Supplement-126,196.96,3,590.89,,,,,,,,,,,,,,,,,,,,," R 1,662.99 "
INV01000,9403280679088,2017-09-11,Y,2017-09-17,,Supplement-27,251.16,5,1255.80,Supplement-69,196.18,4,784.72,,,,,,,,,,,,,,,,,,,,," R 2,040.52 "
INV0103,9311100557082,2014-03-07,Y,2014-03-15,,Supplement-52,148.96,5,744.81,Supplement-86,141.28,1,141.28,,,,,,,,,,,,,,,,,,,,, R 886.09 
INV0962,9311100557082,2017-06-24,Y,2017-06-24,,Supplement-20,225.82,1,225.82,Supplement-182,279.40,1,279.40,,,,,,,,,,,,,,,,,,,,, R 505.22 
INV0112,9307040620082,2014-03-21,Y,2014-03-30,,Supplement-183,239.58,4,958.32,Supplement-4,181.44,1,181.44,,,,,,,,,,,,,,,,,,,,," R 1,139.76 "
INV0004,9304280349087,2012-07-10,Y,2012-07-19,,Supplement-32,65.00,1,65.00,Supplement-146,130.00,3,390.00,,,,,,,,,,,,,,,,,,,,, R 455.00 
INV01108,9304280349087,2018-02-13,Y,2018-02-23,,Supplement-156,199.42,3,598.26,,,,,,,,,,,,,,,,,,,,,,,,, R 598.26 
INV01111,9212120894085,2018-02-15,Y,2018-02-24,,Supplement-30,358.58,4,1434.32,,,,,,,,,,,,,,,,,,,,,,,,," R 1,434.32 "
INV01270,9212120894085,2018-07-18,Y,2018-07-27,,Supplement-25,329.56,2,659.12,Supplement-102,245.02,1,245.02,,,,,,,,,,,,,,,,,,,,, R 904.14 
INV0141,9210160769082,2014-05-26,Y,2014-05-30,,Supplement-193,193.80,5,969.00,,,,,,,,,,,,,,,,,,,,,,,,, R 969.00 
INV0972,9210160769082,2017-07-22,Y,2017-07-27,,Supplement-96,194.86,2,389.72,Supplement-168,251.34,4,1005.36,,,,,,,,,,,,,,,,,,,,," R 1,395.08 "
INV01479,9210160769082,2019-03-06,Y,2019-03-14,,Supplement-41,226.96,1,226.96,,,,,,,,,,,,,,,,,,,,,,,,, R 226.96 
INV0139,9210110388086,2014-05-26,Y,2014-06-03,,Supplement-5,201.88,1,201.88,Supplement-210,144.88,4,579.52,Supplement-114,186.44,3,559.32,,,,,,,,,,,,,,,,," R 1,340.72 "
INV0246,9210110388086,2015-02-04,Y,2015-02-07,,Supplement-61,205.30,2,410.60,Supplement-166,181.36,5,906.80,,,,,,,,,,,,,,,,,,,,," R 1,317.40 "
INV0270,9210110388086,2015-02-23,Y,2015-02-26,,Supplement-59,211.62,1,211.62,,,,,,,,,,,,,,,,,,,,,,,,, R 211.62 
INV0841,9210110388086,2016-12-13,Y,2016-12-19,,Supplement-151,247.19,4,988.76,Supplement-236,208.62,1,208.62,,,,,,,,,,,,,,,,,,,,," R 1,197.38 "
INV0315,9204240981082,2015-04-07,Y,2015-04-16,,Supplement-202,180.48,3,541.44,Supplement-5,215.56,5,1077.80,,,,,,,,,,,,,,,,,,,,," R 1,619.24 "
INV0445,9204240981082,2015-08-05,Y,2015-08-13,,Supplement-102,214.24,3,642.72,,,,,,,,,,,,,,,,,,,,,,,,, R 642.72 
INV0534,9204240981082,2015-10-10,Y,2015-10-16,,Supplement-141,166.54,2,333.08,,,,,,,,,,,,,,,,,,,,,,,,, R 333.08 
INV0976,9204240981082,2017-07-28,Y,2017-08-02,,Supplement-165,311.14,4,1244.56,,,,,,,,,,,,,,,,,,,,,,,,," R 1,244.56 "
INV01333,9204240981082,2018-09-13,Y,2018-09-20,,Supplement-110,252.04,2,504.08,,,,,,,,,,,,,,,,,,,,,,,,, R 504.08 
INV01559,9204240981082,2019-10-26,Y,2019-10-29,,Supplement-93,311.36,3,934.07,Supplement-204,372.70,4,1490.80,,,,,,,,,,,,,,,,,,,,," R 2,424.87 "
INV0104,9202050898085,2014-03-09,Y,2014-03-17,,Supplement-112,2667.64,2,5335.28,Supplement-135,118.92,1,118.92,,,,,,,,,,,,,,,,,,,,," R 5,454.20 "
INV01045,9202010527088,2017-11-19,Y,2017-11-20,,Supplement-59,244.68,2,489.36,,,,,,,,,,,,,,,,,,,,,,,,, R 489.36 
INV01110,9202010527088,2018-02-14,Y,2018-02-21,,Supplement-67,138.04,4,552.16,Supplement-28,320.70,5,1603.50,,,,,,,,,,,,,,,,,,,,," R 2,155.66 "
INV01528,9202010527088,2019-07-28,Y,2019-08-03,,Supplement-138,328.94,1,328.94,Supplement-74,291.76,1,291.76,Supplement-86,226.78,2,453.56,Supplement-34,292.98,3,878.94,,,,,,,,,,,,," R 1,953.20 "
INV0074,9110230494081,2013-12-02,Y,2013-12-11,,Supplement-46,147.16,3,441.48,,,,,,,,,,,,,,,,,,,,,,,,, R 441.48 
INV0186,9110230494081,2014-10-08,Y,2014-10-17,,Supplement-239,270.28,2,540.56,,,,,,,,,,,,,,,,,,,,,,,,, R 540.56 
INV0425,9110230494081,2015-07-16,Y,2015-07-23,,Supplement-139,146.02,4,584.08,,,,,,,,,,,,,,,,,,,,,,,,, R 584.08 
INV01375,9110230494081,2018-10-26,Y,2018-10-28,,Supplement-149,279.40,2,558.80,,,,,,,,,,,,,,,,,,,,,,,,, R 558.80 
INV0130,9109270875081,2014-05-05,Y,2014-05-10,,Supplement-45,83.32,4,333.28,,,,,,,,,,,,,,,,,,,,,,,,, R 333.28 
